8537,Livorno,LIV,AS Livorno,Livorno,Livorno,Livorno,Livorno,Livorno,Livorno,LIVORNO,Livorno
10167,Parma,PAR,FC Parma,Parma,Parma,Parma,Parma,Parma,Parma,PARMA,Parma
9880,Cesena,CES,AC Cesena,Cesena,Cesena,Cesena,Cesena,Cesena,Cesena,CESENA,Cesena
9858,Brescia,BRE,Brescia Calcio,Brescia,Brescia,Brescia,Brescia,,Brescia,BRESCIA,Brescia
6269,Novara,NOV,Novara Calcio,Novara,Novara,Novara,Novara,,Novara,NOVARA,Novara
9878,Pescara,PES,Pescara Calcio,Pescara,Pescara,Pescara,Pescara,Pescara,Pescara,PESCARA,Pescara
9876,Hellas Verona,VER,Hellas Verona,Verona,Verona,Hellas Verona,Verona,Verona,Verona,HELLAS VERONA,Verona
7943,Sassuolo,SAS,US Sassuolo Calcio,Sassuolo,Sassuolo,Sassuolo,Sassuolo,Sassuolo,Sassuolo,SASSUOLO,Sassuolo
8534,Empoli,EMP,Empoli FC,Empoli,Empoli,Empoli,Empoli,Empoli,Empoli,EMPOLI,Empoli
9891,Frosinone,FRO,Frosinone,Frosinone,Frosinone,Frosinone,Frosinone,Frosinone,Frosinone,FROSINONE,Frosinone
208931,Carpi,CAP,Carpi FC 1909,Carpi,Carpi,Carpi,Carpi,Carpi,Carpi,CARPI,Carpi
8277,Vitesse,VIT,Vitesse/Agovv,Vitesse,Vitesse,Vitesse,Vitesse Arnhem,,Vitesse,VITESSE,Vitesse
8674,FC Groningen,GRO,FC Groningen,Groningen,FC Groningen,Groningen,Groningen,,Groningen,GRONINGEN,Groningen
9803,Roda JC Kerkrade,ROD,Roda JC Kerkrade,Roda,Roda JC,Roda JC Kerkrade,Roda JC,,Roda,RODA JC,Roda
8611,FC Twente,TWE,FC Twente Enschede,Twente,FC Twente,Twente,FC Twente Enschede,,Twente,TWENTE,Twente
8525,Willem II,WII,Willem II Tilburg,Willem II,Willem II,Willem II,Willem II,,Willem II,WILLEM II,Willem II
8593,Ajax,AJA,Ajax Amsterdam,Ajax,Ajax,Ajax,Ajax,,Ajax,AJAX AMSTERDAM,Ajax
8464,N.E.C.,NEC,NEC Nijmegen,NEC Nijmegen,NEC Nijmegen,Nijmegen,NEC Nijmegen,,NEC Nijmegen,NEC NIJMEGEN,Nijmegen
8526,De Graafschap,GRA,De Graafschap,De Graafschap,De Graafschap,De Graafschap,De Graafschap,,De Graafschap,DE GRAAFSCHAP,Graafschap
9908,FC Utrecht,UTR,FC Utrecht,Utrecht,FC Utrecht,Utrecht,FC Utrecht,,Utrecht,UTRECHT,Utrecht
8640,PSV,PSV,PSV Eindhoven,PSV,PSV Eindhoven,Eindhoven,PSV Eindhoven,,PSV Eindhoven,PSV EINDHOVEN,PSV
9791,Heracles Almelo,HER,Heracles Almelo,Heracles,Heracles Almelo,Heracles,Heracles Almelo,,Heracles,HERACLES,Heracles
10235,Feyenoord,FEY,Feyenoord Rotterdam,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,Feyenoord,FEYENOORD,Feyenoord
8614,Sparta Rotterdam,SPA,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,,,,Sparta Rotterdam
10217,ADO Den Haag,HAA,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,,Den Haag,DEN HAAG,Den Haag
6601,FC Volendam,VOL,FC Volendam,Volendam,FC Volendam,Volendam,Volendam,,Volendam,VOLENDAM,Volendam
10228,SC Heerenveen,HEE,SC Heerenveen,Heerenveen,SC Heerenveen,Heerenveen,SC Heerenveen,,Heerenveen,HEERENVEEN,Heerenveen
10229,AZ,ALK,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,,AZ Alkmaar,AZ ALKMAAR,AZ Alkmaar
9761,NAC Breda,NAC,NAC Breda,NAC Breda,NAC Breda,NBreda,NAC Breda,,NAC Breda,NAC BREDA,Breda
10219,RKC Waalwijk,RKC,RKC Waalwijk,Waalwijk,RKC Waalwijk,RKC Waalwijk,RKC Waalwijk,,Waalwijk,RKC WAALWIJK,Waalwijk
9839,VVV-Venlo,VEN,VVV Venlo,VVV Venlo,VVV Venlo,VVV-Venlo,VVV-Venlo,,Venlo,VENLO VVV,Venlo
10218,Excelsior,EXC,SBV Excelsior,Excelsior,Excelsior Rotterdam,Excelsior,Excelsior SBV,,Excelsior,EXCELSIOR,Excelsior
6413,PEC Zwolle,ZWO,PEC Zwolle,PEC Zwolle,PEC Zwolle,Zwolle,Zwolle,,Zwolle,ZWOLLE,Zwolle
7788,SC Cambuur,CAM,Cambuur Leeuwarden,Cambuur,Cambuur Leeuwarden,Cambuur,Cambuur Leeuwaarden,,Cambuur,CAMBUUR,Cambuur
6433,Go Ahead Eagles,GAE,Go Ahead Eagles,Go Ahead Eagles,Go Ahead Eagles,Go Ahead Eagles,Go Ahead Eagles,,Go Ahead Eagles,GO AHEAD EAGLES,G.A. Eagles
6631,FC Dordrecht,DOR,FC Dordrecht,Dordrecht,FC Dordrecht,Dordrecht,Dordrecht,,Dordrecht,DORDRECHT,Dordrecht
10265,Wisła Kraków,WIS,Wisla Krakow SA,Wisla Krakow,Wisla Krakow,Wisla Krakow,Wisla Krakow,,Wisla Krakow,WISLA KRAKOW,Wisla
8031,Polonia Bytom,POB,,Polonia Bytom,Polonia Bytom,Polonia Bytom,Polonia Bytom,,,,Polonia Bytom
8020,Atmosféra Gornik Zabrze,GOR,KS Gornik Zabrze,Gornik Zabrze,Gornik Zabrze,Gornik Zabrze,Gornik Zabrze,,Gornik,GORNIK ZABRZE,Gornik Z.
1601,Ruch Chorzów,CHO,Ruch Chorzow,Ruch Chorzow,Ruch Chorzow,Ruch Chorzow,Ruch Chorzow,,Ruch Chorzow,RUCH,Ruch
8673,Legia Warszawa,LEG,Legia Warsaw,Legia Warszawa,Legia Warszawa,Legia Warszawa,Legia Warszawa,,Legia,LEGIA WARSAWA,Legia
2183,P. Warszawa,PWA,Polonia Warszawa,Polonia Warszawa,Polonia Warszaw,Polonia Warsaw,Polonia Warszawa,,,POLONIA WARSAW,Polonia Warszawa
8025,Śląsk Wrocław,SLA,Slask Wroclaw,Slask Wroclaw,Slask Wroclaw,Slask Wroclaw,Slask Wroclaw,,Slask,SLASK,Slask Wroclaw
8030,Lechia Gdańsk,LGD,Lechia Gdansk,Lechia Gdansk,Lechia Gdansk,Lechia Gdansk,Lechia Gdansk,,Lechia Gdansk,LECHIA GDANSK,Lechia Gdansk
8244,ŁKS Łódź,LOD,LKS Lodz,,,,,,,,LKS Lodz
8242,Odra Wodzisław,ODR,,,,,,,,,
